=========================================================================================================
TONG HOP CHI TIET DON DAT SACH GIAO KHOA THPT (TU FILE SGKTHPT.xlsx)
=========================================================================================================
[Lá»›p 10] STT 31 | Ma: G0AHPH001  | Ten: Bảng tuần hoàn các nguyên tố hóa học (Dành cho học sinh Trung học phổ thông - Theo chương trình GDPT năm 2018) | Gia:    9,000 Ä‘ | SL:  4 | ThanhTien:     36,000 Ä‘ | Ghi chu: Khối A (4 HS)
[Lá»›p 10] STT 32 | Ma: G1BHXH001  | Ten: Bài tập Hóa học 10 (KNTT)                               | Gia:   17,000 Ä‘ | SL:  4 | ThanhTien:     68,000 Ä‘ | Ghi chu: Khối A (4 HS)
[Lá»›p 10] STT 33 | Ma: G1HHXB001  | Ten: Sinh học 10  (KNTT)                                     | Gia:   19,600 Ä‘ | SL:  4 | ThanhTien:     78,400 Ä‘ | Ghi chu: Khối A (4 HS)
[Lá»›p 10] STT 34 | Ma: G1HHXB002  | Ten: Chuyên đề học tập Sinh học 10 (KNTT)                    | Gia:   10,800 Ä‘ | SL:  4 | ThanhTien:     43,200 Ä‘ | Ghi chu: Khối A (4 HS)
[Lá»›p 10] STT 35 | Ma: G1BHXB001  | Ten: Bài tập Sinh học 10 (KNTT)                              | Gia:   14,000 Ä‘ | SL:  4 | ThanhTien:     56,000 Ä‘ | Ghi chu: Khối A (4 HS)
[Lá»›p 10] STT 36 | Ma: G1HHXD001  | Ten: Địa lí 10  (KNTT)                                       | Gia:   14,500 Ä‘ | SL:  4 | ThanhTien:     58,000 Ä‘ | Ghi chu: Khối D (4 HS)
[Lá»›p 10] STT 37 | Ma: G1HHXD002  | Ten: Chuyên đề học tập Địa lí 10  (KNTT)                     | Gia:    5,400 Ä‘ | SL:  4 | ThanhTien:     21,600 Ä‘ | Ghi chu: Khối D (4 HS)
[Lá»›p 10] STT 38 | Ma: G1BHXD001  | Ten: Bài tập Địa lí 10 (KNTT)                                | Gia:   17,000 Ä‘ | SL:  4 | ThanhTien:     68,000 Ä‘ | Ghi chu: Khối D (4 HS)
[Lá»›p 10] STT 41 | Ma: G1HHXY001  | Ten: Giáo dục Kinh tế và Pháp luật 10  (KNTT)                | Gia:   19,200 Ä‘ | SL:  4 | ThanhTien:     76,800 Ä‘ | Ghi chu: Khối D (4 HS)
[Lá»›p 10] STT 42 | Ma: G1HHXY002  | Ten: Chuyên đề học tập Giáo dục kinh tế và Pháp luật 10 (KNTT) | Gia:   10,000 Ä‘ | SL:  4 | ThanhTien:     40,000 Ä‘ | Ghi chu: Khối D (4 HS)
